match_id,source,target,weight,raw_score_team1_minus_team2,date,stage,possession_z_diff,total attempts_z_diff,on target attempts_z_diff,attempts inside the penalty area_z_diff,passes completed_z_diff,corners_z_diff,completed line breaks_z_diff,completed defensive line breaks_z_diff,forced turnovers_z_diff,defensive pressures applied_z_diff
1,ECUADOR,QATAR,0.39570481238025634,-0.39570481238025634,20 NOV 2022,Group A,-0.33901159591211305,-0.11407945911669924,-0.742831383446331,-0.3100528113133099,-0.0987544488349838,-0.4603601794247855,-0.24757029315924342,-0.3448421798914078,-1.1434863063396903,-0.1560594663639992
2,ENGLAND,IRAN,0.9817993022602927,0.9817993022602927,21 NOV 2022,Group B,2.2459518229177493,0.5703972955834962,0.990441844595108,0.6201056226266198,2.031520090319667,1.841440717699142,2.5328345377061057,1.3793687195656312,-0.5145688378528606,-1.8794987905577294
3,SENEGAL,NETHERLANDS,0.03438590096799879,0.03438590096799879,21 NOV 2022,Group A,-0.04237644948901413,0.5703972955834962,0.0,0.3100528113133099,-0.2151436206762147,-0.23018008971239276,-0.1333070809319003,0.5747369664856796,-0.5717431531698451,0.08142233027686914
4,UNITED STATES,WALES,0.26664436069987546,0.26664436069987546,21 NOV 2022,Group B,0.5085173938681696,-0.11407945911669924,-0.495220922297554,-0.15502640565665496,0.6630655850348912,0.4603601794247855,0.818886354295959,0.8046317530799515,0.5145688378528606,-0.3392597094869548
5,ARGENTINA,SAUDI ARABIA,0.8824011715440463,0.8824011715440463,22 NOV 2022,Group C,1.6950579795605654,1.2548740502836915,0.990441844595108,1.0851848395965846,1.195634219823554,1.6112606279867494,1.123588253568874,2.0690530793484467,-0.8576147297547677,-1.3434684495683409
6,DENMARK,TUNISIA,0.4488502378254305,0.4488502378254305,22 NOV 2022,Group D,0.932281888758311,0.0,0.742831383446331,0.15502640565665496,0.7794547568761221,0.4603601794247855,0.9712373039324165,0.6896843597828156,0.17152294595095352,-0.41389684557408485
7,MEXICO,POLAND,0.5069431713238916,0.5069431713238916,22 NOV 2022,Group C,0.9746583382473251,0.5703972955834962,0.742831383446331,0.4650792169699649,0.6383769728261453,0.23018008971239276,0.6665354046595016,1.9541056860513109,-0.5145688378528606,-0.6581638364046922
8,FRANCE,AUSTRALIA,1.2763294340785096,1.2763294340785096,22 NOV 2022,Group D,0.8899054392692968,2.0534302641005864,1.485662766892662,2.4804224905064793,0.962855876141092,1.6112606279867494,0.9712373039324165,2.2989478659427185,0.4573945225358761,-0.4478228165227803
9,CROATIA,MOROCCO,0.16049098807259277,-0.16049098807259277,23 NOV 2022,Group F,-1.0594112372253535,0.22815891823339848,0.0,-0.15502640565665496,-1.0651372695773254,-1.1509004485619638,-0.6665354046595016,-0.5747369664856796,1.6580551441925508,1.1806237890146025
10,GERMANY,JAPAN,0.688799194349279,0.688799194349279,23 NOV 2022,Group E,1.8221873280276077,1.7111918867504885,1.485662766892662,0.7751320282832748,1.8904423062696898,0.0,2.1900449010240766,1.0345265396742234,-1.8295780901435044,-2.1916177232857277
11,SPAIN,COSTA RICA,1.3354508970313912,1.3354508970313912,23 NOV 2022,Group E,2.4154576208738057,1.939350804983887,1.733273228041439,1.8603168678798596,2.937944852840768,1.1509004485619638,3.332677023297508,2.4138952592398546,-1.7152294595095354,-2.714077675895638
12,CANADA,BELGIUM,0.24390744102522213,-0.24390744102522213,23 NOV 2022,Group F,0.1271293484670424,-1.3689535094003908,-0.247610461148777,-1.5502640565665495,0.201035842271217,0.0,-0.09521934352278594,-0.8046317530799515,1.5437065135585817,-0.24426699083060743
13,SWITZERLAND,CAMEROON,0.19513145301816381,0.19513145301816381,24 NOV 2022,Group G,-0.1271293484670424,0.11407945911669924,0.0,0.0,0.04585027981624248,1.3810805382743565,0.38087737409114375,1.0345265396742234,-0.8576147297547677,-0.020355582569217285
14,URUGUAY,KOREA REPUBLIC,0.29251895853078447,0.29251895853078447,24 NOV 2022,Group H,0.4661409443791555,0.45631783646679697,0.0,0.9301584339399298,0.41970640754868116,0.23018008971239276,-0.15235094963645748,-0.11494739329713594,0.6289174684868296,0.06106674770765186
15,PORTUGAL,GHANA,0.514471557996433,0.514471557996433,24 NOV 2022,Group H,0.8475289897802827,0.3422383773500977,0.495220922297554,0.7751320282832748,0.8711553165086071,0.0,1.1616759909779883,1.609263506159903,-0.6860917838038141,-0.2714077675895638
16,BRAZIL,SERBIA,0.8869715756783603,0.8869715756783603,24 NOV 2022,Group G,0.8051525402912686,2.2815891823339847,2.47610461148777,1.5502640565665495,0.6524847512311429,0.4603601794247855,0.818886354295959,0.45978957318854374,0.05717431531698451,-0.6920898073533878
