match_id,source,target,weight,raw_score_team1_minus_team2,network,date,stage,defensive pressures applied_z_diff,forced turnovers_z_diff
1,ECUADOR,QATAR,0.6497728863518447,-0.6497728863518447,pressure_recovery,20 NOV 2022,Group A,-0.1560594663639992,-1.1434863063396903
2,IRAN,ENGLAND,1.197033814205295,-1.197033814205295,pressure_recovery,21 NOV 2022,Group B,-1.8794987905577294,-0.5145688378528606
3,NETHERLANDS,SENEGAL,0.245160411446488,-0.245160411446488,pressure_recovery,21 NOV 2022,Group A,0.08142233027686914,-0.5717431531698451
4,UNITED STATES,WALES,0.0876545641829529,0.0876545641829529,pressure_recovery,21 NOV 2022,Group B,-0.3392597094869548,0.5145688378528606
5,SAUDI ARABIA,ARGENTINA,1.1005415896615542,-1.1005415896615542,pressure_recovery,22 NOV 2022,Group C,-1.3434684495683409,-0.8576147297547677
6,TUNISIA,DENMARK,0.12118694981156566,-0.12118694981156566,pressure_recovery,22 NOV 2022,Group D,-0.41389684557408485,0.17152294595095352
7,POLAND,MEXICO,0.5863663371287764,-0.5863663371287764,pressure_recovery,22 NOV 2022,Group C,-0.6581638364046922,-0.5145688378528606
8,FRANCE,AUSTRALIA,0.004785853006547908,0.004785853006547908,pressure_recovery,22 NOV 2022,Group D,-0.4478228165227803,0.4573945225358761
9,MOROCCO,CROATIA,1.4193394666035766,1.4193394666035766,pressure_recovery,23 NOV 2022,Group F,1.1806237890146025,1.6580551441925508
10,JAPAN,GERMANY,2.010597906714616,-2.010597906714616,pressure_recovery,23 NOV 2022,Group E,-2.1916177232857277,-1.8295780901435044
11,COSTA RICA,SPAIN,2.214653567702587,-2.214653567702587,pressure_recovery,23 NOV 2022,Group E,-2.714077675895638,-1.7152294595095354
12,BELGIUM,CANADA,0.6497197613639871,0.6497197613639871,pressure_recovery,23 NOV 2022,Group F,-0.24426699083060743,1.5437065135585817
13,CAMEROON,SWITZERLAND,0.4389851561619925,-0.4389851561619925,pressure_recovery,24 NOV 2022,Group G,-0.020355582569217285,-0.8576147297547677
14,URUGUAY,KOREA REPUBLIC,0.34499210809724074,0.34499210809724074,pressure_recovery,24 NOV 2022,Group H,0.06106674770765186,0.6289174684868296
15,GHANA,PORTUGAL,0.478749775696689,-0.478749775696689,pressure_recovery,24 NOV 2022,Group H,-0.2714077675895638,-0.6860917838038141
16,SERBIA,BRAZIL,0.31745774601820165,-0.31745774601820165,pressure_recovery,24 NOV 2022,Group G,-0.6920898073533878,0.05717431531698451
17,IRAN,WALES,0.24721287761753669,-0.24721287761753669,pressure_recovery,25 NOV 2022,Group B,-0.7802973318199959,0.28587157658492257
18,QATAR,SENEGAL,0.25783737921008565,0.25783737921008565,pressure_recovery,25 NOV 2022,Group A,0.5156747584201713,0.0
19,NETHERLANDS,ECUADOR,0.8585612753585058,0.8585612753585058,pressure_recovery,25 NOV 2022,Group A,-0.1696298547434774,1.886752405460489
