match_id,source,target,weight,raw_score_team1_minus_team2,network,date,stage,goals_per_attempt_z_diff,goals_per_on_target_z_diff,shot_accuracy_z_diff,goals_per_completed_pass_z_diff
35,ENGLAND,WALES,1.0319365965768186,-1.0319365965768186,offensive_efficiency,29 NOV 2022,Group B,-0.9407926573414359,-0.9155928793098298,-1.1316487865402414,-1.1397120631157667
36,UNITED STATES,IRAN,0.4272103545477733,-0.4272103545477733,offensive_efficiency,29 NOV 2022,Group B,-0.4442631993001225,-0.427276677011254,-0.3506932437455437,-0.4866082981341731
37,AUSTRALIA,DENMARK,0.8693923075671025,0.8693923075671025,offensive_efficiency,30 NOV 2022,Group D,0.6663947989501837,0.5340958462640675,1.2023768356990066,1.0747017493551523
38,TUNISIA,FRANCE,0.9140253158964358,0.9140253158964358,offensive_efficiency,30 NOV 2022,Group D,1.066231678320294,0.7121277950187566,1.1222183799857395,0.7555234102609529
39,ARGENTINA,POLAND,0.8593186910177244,-0.8593186910177244,offensive_efficiency,30 NOV 2022,Group C,-0.4264926713281176,-0.32867436693173385,-2.188325840972192,-0.49378188483885377
40,MEXICO,SAUDI ARABIA,0.06755566003930596,-0.06755566003930596,offensive_efficiency,30 NOV 2022,Group C,0.10662316783202942,0.6409150155168809,-0.8416637849893046,-0.1760970385168296
41,CROATIA,BELGIUM,0.10201985272597633,0.10201985272597633,offensive_efficiency,01 DEC 2022,Group F,0.0,0.0,0.4080794109039053,0.0
42,MOROCCO,CANADA,1.1687323437033859,-1.1687323437033859,offensive_efficiency,01 DEC 2022,Group F,-0.45695643356584015,-2.13638338505627,-1.2023768356990066,-0.8792127204924266
43,JAPAN,SPAIN,1.2996625611929757,1.2996625611929757,offensive_efficiency,01 DEC 2022,Group E,1.3962557692289561,0.9969789130262591,0.6011884178495033,2.204227144667184
44,COSTA RICA,GERMANY,0.6473319521520934,0.6473319521520934,offensive_efficiency,01 DEC 2022,Group E,0.6663947989501837,-0.06473889045625066,1.7096295632595249,0.2780423368549157
45,URUGUAY,GHANA,0.7992033278584834,-0.7992033278584834,offensive_efficiency,02 DEC 2022,Group H,-0.888526398600245,-0.6103952528732199,-0.5844887395759062,-1.1134029203845623
46,KOREA REPUBLIC,PORTUGAL,0.5685925722576132,0.5685925722576132,offensive_efficiency,02 DEC 2022,Group H,0.4442631993001225,0.1780319487546891,0.7013864874910872,0.950688653484554
47,SWITZERLAND,SERBIA,0.35471038836884355,-0.35471038836884355,offensive_efficiency,02 DEC 2022,Group G,-0.1730895581688788,0.15259881321830504,-0.5738616715836167,-0.8244891369411838
48,CAMEROON,BRAZIL,0.6973049283564725,0.6973049283564725,offensive_efficiency,02 DEC 2022,Group G,0.7615940559430671,0.7121277950187566,0.47462243514434466,0.8408754273197216
49,NETHERLANDS,UNITED STATES,1.0127669477140029,1.0127669477140029,offensive_efficiency,03 DEC 2022,Round of 16,1.157776822418501,0.762994066091525,0.6588782155219302,1.4714186868240553
50,AUSTRALIA,ARGENTINA,0.1482842072379809,-0.1482842072379809,offensive_efficiency,03 DEC 2022,Round of 16,-0.30463762237722697,-0.21363833850562694,-0.18035652535485103,0.10549565728578136
51,FRANCE,POLAND,0.5378203090557444,0.5378203090557444,offensive_efficiency,04 DEC 2022,Round of 16,0.5149414355524147,0.2034650842910733,0.6934161864968703,0.7394585298826195
52,ENGLAND,SENEGAL,1.5041886917081788,1.5041886917081788,offensive_efficiency,04 DEC 2022,Round of 16,1.9991843968505512,1.6022875387922024,1.2624956774839569,1.1527871537060048
53,JAPAN,CROATIA,0.1562814725561136,0.1562814725561136,offensive_efficiency,05 DEC 2022,Round of 16,0.1110657998250306,0.0,0.3506932437455435,0.16336684665388032
54,BRAZIL,KOREA REPUBLIC,0.4641247029968631,0.4641247029968631,offensive_efficiency,05 DEC 2022,Round of 16,0.6515860256401795,0.5934398291822972,-0.4208318924946522,1.0323048496596277
55,MOROCCO,SPAIN,0.4451106555231899,0.4451106555231899,offensive_efficiency,06 DEC 2022,Round of 16,0.0,0.0,1.7804426220927596,0.0
56,PORTUGAL,SWITZERLAND,1.4847938815161217,1.4847938815161217,offensive_efficiency,06 DEC 2022,Round of 16,1.7516663286690541,-0.7121277950187567,2.2845159878281125,2.615121004586077
57,CROATIA,BRAZIL,0.10435345736832483,0.10435345736832483,offensive_efficiency,09 DEC 2022,Quarter-final,0.32579301282008977,1.9421667136875178,-1.846984417059863,-0.003561479974445323
58,NETHERLANDS,ARGENTINA,0.6952346335174883,0.6952346335174883,offensive_efficiency,09 DEC 2022,Quarter-final,1.4216422377603923,1.4242555900375133,0.0,-0.0649592937279528
59,MOROCCO,PORTUGAL,0.6836967493543913,0.6836967493543913,offensive_efficiency,10 DEC 2022,Quarter-final,0.5923509324001633,0.7121277950187566,0.2550496318149408,1.1752586381837045
60,FRANCE,ENGLAND,0.672429744751651,-0.672429744751651,offensive_efficiency,10 DEC 2022,Quarter-final,-0.803904836828793,-0.4984894565131297,-0.5343897047551143,-0.8529349809095667
61,ARGENTINA,CROATIA,1.540330630425738,1.540330630425738,offensive_efficiency,13 DEC 2022,Semi-final,1.599347517480441,0.9155928793098298,1.893743516225935,1.7526386086867456
62,FRANCE,MOROCCO,1.121173699453263,1.121173699453263,offensive_efficiency,14 DEC 2022,Semi-final,0.7615940559430671,2.13638338505627,0.2774715774690015,1.3092457793447134
63,CROATIA,MOROCCO,0.11629658057641022,0.11629658057641022,offensive_efficiency,17 DEC 2022,Play-off for third place,0.0,0.0,0.0,0.4651863223056409
64,FRANCE,ARGENTINA,0.5096710520237056,-0.5096710520237056,offensive_efficiency,18 DEC 2022,Final,-0.8377534615373738,-0.5697022360150052,-0.30059420892475175,-0.3306343016176912
